noun,event_freq
death,238
war,112
process,37
campaign,33
end,32
battle,31
era,29
event,28
decade,27
release,27
game,27
visit,23
election,23
hour,23
winter,22
birth,22
development,22
construction,22
reign,21
meeting,20
phase,20
service,20
performance,20
change,19
attack,19
tour,18
production,17
operation,17
number,17
1970,16
publication,15
flight,15
half,14
series,14
start,14
1960,13
age,13
loss,13
-,13
invasion,13
date,13
trip,13
attempt,13
departure,13
formation,12
transition,12
work,12
completion,12
incident,12
session,12
citation,12
marriage,12
course,12
launch,12
life,11
stage,11
use,11
government,11
play,11
tenure,11
mission,11
show,11
night,10
term,10
return,10
earthquake,10
run,10
conflict,10
stay,10
absence,10
spring,10
episode,10
victory,10
trial,9
fall,9
crisis,9
settlement,9
voyage,9
festival,9
accident,9
illness,9
wedding,9
execution,9
test,9
infection,9
1980,9
success,9
ceremony,9
group,9
1930,8
presidency,8
debate,8
rule,8
birthday,8
siege,8
dynasty,8
transfer,8
negotiation,8
child,8
cycle,8
sleep,8
fire,8
outbreak,7
race,7
treatment,7
passage,7
arrival,7
speech,7
defeat,7
creation,7
fight,7
recording,7
introduction,7
company,7
1990,7
assassination,7
riot,7
expedition,7
history,7
school,7
pregnancy,7
book,7
strike,7
round,6
rebellion,6
childhood,6
member,6
line,6
sale,6
coronation,6
activity,6
story,6
expansion,6
surgery,6
competition,6
disaster,6
sunset,6
artist,6
storm,6
interval,6
program,6
talk,6
training,6
independence,6
escape,6
delay,6
revolution,6
dawn,6
divorce,6
father,6
meal,5
city,5
point,5
rain,5
dispute,5
capture,5
announcement,5
army,5
interview,5
observation,5
broadcast,5
opening,5
separation,5
experience,5
examination,5
effort,5
removal,5
movement,5
study,5
application,5
match,5
engagement,5
disease,5
expulsion,5
discussion,5
example,5
part,5
filming,5
fermentation,5
consonant,5
accession,5
conversion,5
intercourse,5
advent,5
retirement,5
rise,5
ad,5
premiere,5
1950,5
1940,5
re,5
minute,5
college,5
song,5
weekend,4
occupation,4
argument,4
turn,4
childbirth,4
experiment,4
move,4
decline,4
failure,4
reconstruction,4
exile,4
eruption,4
hearing,4
massacre,4
section,4
protest,4
midnight,4
struggle,4
collision,4
rehearsal,4
wave,4
crash,4
station,4
type,4
conquest,4
eclipse,4
raid,4
thing,4
vowel,4
composer,4
restoration,4
locomotion,4
fighting,4
entry,4
design,4
destruction,4
reaction,4
culture,4
discovery,4
people,4
offseason,4
project,4
founding,4
transport,4
economy,4
scene,4
demonstration,4
renovation,4
epidemic,4
break,4
class,4
delivery,4
problem,4
peak,3
road,3
division,3
period,3
ovulation,3
shift,3
landing,3
shot,3
element,3
rediscovery,3
kind,3
takeover,3
control,3
name,3
report,3
glaciation,3
search,3
sign,3
player,3
revolt,3
conference,3
up,3
woman,3
withdrawal,3
excavation,3
exchange,3
clash,3
summit,3
modification,3
funeral,3
investigation,3
trouble,3
apprenticeship,3
day,3
faction,3
shower,3
transit,3
crossing,3
portion,3
mutation,3
review,3
fact,3
exploration,3
mating,3
boom,3
transmission,3
behavior,3
crime,3
retreat,3
repair,3
second,3
stress,3
user,3
phenomenon,3
popularity,3
concert,3
inning,3
holiday,3
club,3
beginning,3
infancy,3
bridge,3
band,3
unit,3
tension,3
merger,3
appointment,3
collapse,3
convention,3
growth,3
overthrow,3
state,3
conviction,3
flocculation,3
noon,3
manufacturer,3
reflection,3
travel,3
stop,3
translation,3
papacy,3
communication,3
takeoff,3
association,3
court,3
fatality,3
ending,3
solstice,3
invention,3
edition,3
case,3
nomination,3
contact,3
amplification,3
existence,3
sunrise,3
ban,3
referendum,3
step,3
festivity,3
pass,3
film,3
effect,3
impact,3
party,3
interest,3
coup,3
cavitation,3
assault,3
cyclone,3
regime,3
onset,3
split,3
law,3
violence,3
wartime,3
expression,3
reading,3
practice,3
ratification,3
ride,2
celebration,2
transaction,2
window,2
level,2
adoption,2
stint,2
demise,2
deliberation,2
rating,2
stretch,2
masse,2
nineteenth,2
one,2
pause,2
issue,2
mid,2
equinox,2
lesson,2
specie,2
opera,2
president,2
seizure,2
detonation,2
recession,2
expiration,2
dance,2
hesitation,2
evacuation,2
female,2
controversy,2
council,2
1920,2
soldier,2
playback,2
bounce,2
middle,2
establishment,2
rescue,2
manufacture,2
emperor,2
recovery,2
body,2
present,2
replication,2
ascension,2
exhibition,2
allegation,2
truck,2
autumn,2
afternoon,2
heart,2
word,2
treason,2
spell,2
inventor,2
statue,2
inauguration,2
condition,2
weather,2
prayer,2
storage,2
side,2
roll,2
while,2
journey,2
reform,2
imprisonment,2
proceeding,2
copulation,2
lifespan,2
ejection,2
shoot,2
administration,2
moment,2
route,2
filtration,2
acceptance,2
1830,2
1890,2
judge,2
telecast,2
contest,2
2000,2
explosion,2
committee,2
streak,2
task,2
downturn,2
tribute,2
intake,2
decision,2
playing,2
surrender,2
out,2
novel,2
dinner,2
cooking,2
routine,2
off,2
quarterback,2
deployment,2
function,2
height,2
purge,2
exercise,2
graduation,2
difficulty,2
dog,2
siren,2
page,2
education,2
moon,2
sinking,2
trend,2
walkout,2
triumph,2
signal,2
ignition,2
doctrine,2
approval,2
drop,2
region,2
arrest,2
1800,2
prophase,2
lapse,2
maneuver,2
standoff,2
flyby,2
spectator,2
progression,2
menstruation,2
lead,2
feeding,2
quarter,2
putsch,2
menopause,2
flow,2
presentation,2
friend,2
reproduction,2
position,2
civilization,2
thunderstorm,2
audience,2
testing,2
variation,2
intervention,2
coalition,2
transient,2
copy,2
contraction,2
appearance,2
symptom,2
disorder,2
cement,2
demolition,2
bleeding,2
mill,2
man,2
friendship,2
critic,2
industry,2
support,2
country,2
form,2
music,2
character,2
tournament,2
church,2
reduction,2
spot,2
charge,2
exposure,2
emigration,2
hydrolysis,2
enzyme,2
conversation,2
freeze,2
exhaustion,2
sacrifice,2
precipitation,2
snowfall,2
studio,2
writer,2
model,2
error,2
pattern,2
researcher,2
building,2
peace,2
brewery,2
digestion,2
win,2
burning,2
protein,2
resistance,2
crown,2
%,2
university,2
majority,2
affair,2
v,2
variety,2
reunion,2
assistant,2
tax,2
world,2
magistrate,2
addition,2
shooting,2
assembly,2
secretion,2
hotel,2
hyperinflation,2
criticism,2
architect,2
march,2
inflation,2
human,2
bombing,2
generation,2
reverse,2
son,2
boundary,2
damage,2
main,2
brother,2
system,2
sound,2
right,2
rainfall,2
devaluation,2
pollination,2
vacancy,2
radio,2
procedure,2
relationship,2
developer,2
snow,2
famine,2
maturity,2
rumour,2
career,2
record,2
health,2
participation,2
drive,2
stalemate,1
1380,1
quake,1
fashion,1
metathesis,1
maintenance,1
planting,1
discoverer,1
ownership,1
reliance,1
flowering,1
salvage,1
set,1
cut,1
electorate,1
eviction,1
mdct,1
handling,1
offensive,1
hiatus,1
version,1
infusion,1
claim,1
enhancement,1
interaction,1
ascent,1
finish,1
literature,1
audit,1
compilation,1
blackout,1
dump,1
pursuit,1
hitter,1
animation,1
throat,1
tribunal,1
manner,1
captivity,1
1920s,1
traversal,1
alcoholism,1
morphology,1
spin,1
rearing,1
guard,1
gameplay,1
piece,1
bucket,1
retransmission,1
statement,1
summertime,1
perfection,1
shortage,1
makeover,1
blizzard,1
consulship,1
headship,1
decay,1
cartoonist,1
gain,1
preseason,1
jinn,1
public,1
migration,1
gametogenesis,1
interrogation,1
planet,1
tryout,1
collection,1
silt,1
weathering,1
rolling,1
evaporation,1
village,1
synthesis,1
legalization,1
reception,1
binge,1
advance,1
squabbling,1
aspect,1
bid,1
publisher,1
pillaging,1
ancestor,1
pathway,1
tsunami,1
reference,1
hunt,1
injury,1
ice,1
wintertime,1
transcription,1
2002–03,1
refit,1
file,1
officer,1
statute,1
anarchism,1
infant,1
painting,1
bleed,1
washing,1
harden,1
de,1
planing,1
pace,1
final,1
percent,1
response,1
disagreement,1
scuffle,1
ordination,1
lace,1
smell,1
patrol,1
troop,1
vintage,1
possibility,1
deportation,1
diving,1
revival,1
site,1
incubation,1
recitation,1
hitch,1
burial,1
mace,1
activation,1
host,1
shipping,1
chapel,1
drought,1
grave,1
home,1
duration,1
cutting,1
occultation,1
globalization,1
warmup,1
parinibbana,1
firm,1
regulation,1
conclusion,1
entity,1
accusative,1
average,1
1620,1
murder,1
aberration,1
suspect,1
1820,1
daytime,1
orbit,1
runtime,1
b,1
irregularity,1
Bacteria,1
discarder,1
baptistery,1
intersection,1
toy,1
politician,1
lake,1
unification,1
mechanic,1
brand,1
architecture,1
devastation,1
over,1
singular,1
platform,1
montage,1
levy,1
sawmill,1
extrema,1
trimester,1
resurgence,1
stopover,1
daughter,1
settling,1
romanticism,1
tribe,1
periastron,1
mortality,1
abdication,1
range,1
annexation,1
picture,1
flip,1
1750,1
bishop,1
volley,1
aliasing,1
baby,1
baptism,1
cease,1
arabization,1
land,1
workshop,1
ictus,1
couple,1
interception,1
symbol,1
monsoon,1
airing,1
uplift,1
biomedicine,1
diagenesis,1
preparation,1
musician,1
code,1
town,1
forging,1
encoding,1
decathlon,1
rally,1
crucifix,1
office,1
phoneme,1
roller,1
fasting,1
oviposition,1
bedtime,1
special,1
temple,1
displacement,1
finale,1
walking,1
engraving,1
ceasefire,1
altercation,1
orientation,1
whistle,1
thaw,1
priest,1
bubble,1
document,1
secularization,1
assumption,1
wandering,1
abrasion,1
foo,1
r,1
bidding,1
moratorium,1
saga,1
reformation,1
market,1
upheaval,1
signing,1
extinction,1
photosynthesis,1
cab,1
spoilage,1
taxis,1
declaration,1
rattle,1
delimiter,1
evolution,1
