noun,info_freq
fact,160
idea,47
evidence,43
belief,40
claim,20
statement,19
view,19
assumption,18
notion,18
condition,16
fear,15
theory,15
proof,14
hope,14
sense,14
conclusion,13
possibility,13
assertion,11
concern,11
impression,10
feeling,10
indication,10
suggestion,9
opinion,9
ground,9
concept,8
point,7
hypothesis,7
extent,7
order,7
observation,6
chance,6
expectation,6
argument,6
state,6
speculation,5
risk,5
question,5
assurance,5
result,5
understanding,5
doubt,4
citation,4
decision,4
message,4
prediction,4
response,4
report,4
rumor,4
declaration,4
guarantee,4
effect,4
case,4
basis,4
requirement,4
converse,4
likelihood,4
suspicion,4
announcement,4
recognition,3
position,3
opposite,3
principle,3
note,3
allegation,3
philosophy,3
premise,3
interview,3
rule,3
agreement,3
provision,3
reverse,2
confidence,2
version,2
danger,2
criticism,2
myth,2
threat,2
perspective,2
teaching,2
thought,2
paradox,2
approach,2
promise,2
solution,2
misconception,2
proposition,2
formula,2
section,2
way,2
word,2
notice,2
dispute,2
degree,2
conviction,2
appearance,2
bet,2
demand,2
term,2
judgment,2
charge,2
realization,2
model,2
ruling,2
trend,2
infer,2
document,2
exception,2
discovery,2
composition,2
detail,2
advice,2
news,2
retrospect,2
usage,2
byte,1
illustrate,1
instruction,1
return,1
film,1
relation,1
surprise,1
explanation,1
warning,1
venture,1
string,1
thesis,1
landscape,1
approximation,1
following,1
name,1
intention,1
stipulation,1
superstition,1
foretell,1
worry,1
documentation,1
competition,1
flux,1
painting,1
restriction,1
theorem,1
link,1
activity,1
pretense,1
structure,1
million,1
benefit,1
freedom,1
standard,1
instance,1
alignment,1
essence,1
clarity,1
layout,1
success,1
advertising,1
acceptance,1
map,1
incompatibilism,1
story,1
accusation,1
depression,1
objection,1
pretext,1
printing,1
addition,1
retelling,1
optimism,1
amount,1
petition,1
rush,1
excuse,1
jest,1
comment,1
physicalism,1
concerto,1
truth,1
rumour,1
example,1
indeterminism,1
property,1
application,1
engine,1
core,1
situation,1
cat,1
reminder,1
image,1
remark,1
finding,1
receiver,1
expert,1
value,1
precedent,1
criterion,1
oath,1
record,1
bombing,1
signal,1
seed,1
inference,1
part,1
expression,1
perception,1
underline,1
number,1
contention,1
man,1
consensus,1
total,1
aspiration,1
presumption,1
draft,1
copying,1
room,1
season,1
enzyme,1
location,1
hymn,1
award,1
specifie,1
proviso,1
legend,1
tradition,1
viewpoint,1
protest,1
analysis,1
theme,1
regret,1
growth,1
friend,1
dilatation,1
permission,1
outfit,1
study,1
answer,1
head,1
rate,1
acquaintance,1
codeword,1
epilogue,1
rarity,1
severity,1
awareness,1
confirmation,1
sentence,1
reason,1
practice,1
distinction,1
pressure,1
consideration,1
facility,1
specie,1
act,1
union,1
drawback,1
revelation,1
efficiency,1
proposal,1
retirement,1
disappointment,1
institution,1
request,1
thing,1
letter,1
repeal,1
intellectual,1
irony,1
baptism,1
highway,1
accession,1
tort,1
fish,1
implication,1
problem,1
imago,1
outcome,1
definition,1
cord,1
pattern,1
People,1
advance,1
aberration,1
insistence,1
population,1
element,1
disadvantage,1
petrel,1
wish,1
city,1
notation,1
recommendation,1
flange,1
escutcheon,1
ideology,1
wipe,1
current,1
intelligence,1
offence,1
programme,1
fashion,1
advantage,1
knowledge,1
wonder,1
difference,1
injustice,1
responsibility,1
stereotype,1
