noun,info_freq,event_freq
fact,160,3
idea,47,1
claim,20,1
statement,19,1
view,19,1
assumption,18,1
notion,18,1
condition,16,2
fear,15,1
sense,14,1
conclusion,13,1
possibility,13,1
feeling,10,1
concept,8,1
point,7,5
order,7,1
observation,6,5
argument,6,4
state,6,3
result,5,1
understanding,5,1
citation,4,12
decision,4,2
response,4,1
report,4,3
rumor,4,1
declaration,4,1
effect,4,3
case,4,3
announcement,4,5
recognition,3,1
position,3,2
opposite,3,1
note,3,1
allegation,3,2
philosophy,3,1
interview,3,5
rule,3,8
agreement,3,1
reverse,2,2
version,2,1
criticism,2,2
teaching,2,1
thought,2,1
approach,2,1
section,2,4
way,2,1
word,2,2
dispute,2,5
conviction,2,3
appearance,2,2
demand,2,1
term,2,10
judgment,2,1
charge,2,2
model,2,2
trend,2,2
document,2,1
discovery,2,4
news,2,1
usage,2,1
return,1,10
film,1,3
relation,1,1
name,1,3
competition,1,6
painting,1,1
link,1,1
activity,1,6
instance,1,1
alignment,1,1
layout,1,1
success,1,9
acceptance,1,2
story,1,6
depression,1,1
addition,1,2
rush,1,1
rumour,1,2
example,1,5
application,1,5
image,1,1
remark,1,1
record,1,2
bombing,1,2
signal,1,2
part,1,5
expression,1,3
number,1,17
man,1,2
total,1,1
season,1,1
enzyme,1,2
location,1,1
hymn,1,1
award,1,1
tradition,1,1
protest,1,4
analysis,1,1
growth,1,3
friend,1,2
study,1,5
awareness,1,1
sentence,1,1
reason,1,1
practice,1,3
specie,1,2
act,1,1
union,1,1
proposal,1,1
retirement,1,5
request,1,1
thing,1,4
letter,1,1
intellectual,1,1
baptism,1,1
accession,1,5
problem,1,4
pattern,1,2
People,1,1
advance,1,1
aberration,1,1
element,1,3
city,1,5
current,1,1
programme,1,1
fashion,1,1
advantage,1,1
difference,1,1
